$ seqkit stats GCF_*.fna | tee bruce_stats.txt
file                                               format  type  num_seqs    sum_len    min_len      avg_len    max_len
./indiv/GCF_000698245.1_ASM69824v1_genomic.fna     FASTA   DNA          2  3,324,765  1,398,285  1,662,382.5  1,926,480
./indiv/GCF_000698285.1_ASM69828v1_genomic.fna     FASTA   DNA          2  3,325,042  1,398,326    1,662,521  1,926,716
./indiv/GCF_000698325.1_ASM69832v1_genomic.fna     FASTA   DNA          2  3,328,972  1,401,378    1,664,486  1,927,594
./indiv/GCF_000698345.1_ASM69834v1_genomic.fna     FASTA   DNA          2  3,328,458  1,401,375    1,664,229  1,927,083
./indiv/GCF_000699025.1_ASM69902v1_genomic.fna     FASTA   DNA          2  3,324,539  1,398,244  1,662,269.5  1,926,295
./indiv/GCF_000740135.1_ASM74013v1_genomic.fna     FASTA   DNA          1  1,359,011  1,359,011    1,359,011  1,359,011
./indiv/GCF_000740155.1_ASM74015v1_genomic.fna     FASTA   DNA          2  3,288,518  1,163,338    1,644,259  2,125,180
./indiv/GCF_000740175.1_ASM74017v1_genomic.fna     FASTA   DNA          2  3,285,289  1,161,669  1,642,644.5  2,123,620
./indiv/GCF_000740195.1_ASM74019v1_genomic.fna     FASTA   DNA          2  3,279,946  1,155,846    1,639,973  2,124,100
./indiv/GCF_000740215.1_ASM74021v1_genomic.fna     FASTA   DNA          2  3,281,154  1,157,058    1,640,577  2,124,096
./indiv/GCF_000740235.1_ASM74023v1_genomic.fna     FASTA   DNA          2  3,319,697  1,187,980  1,659,848.5  2,131,717
./indiv/GCF_000740255.1_ASM74025v1_genomic.fna     FASTA   DNA          2  3,297,260  1,190,208    1,648,630  2,107,052
./indiv/GCF_000740275.1_ASM74027v1_genomic.fna     FASTA   DNA          2  3,331,029  1,191,996  1,665,514.5  2,139,033
./indiv/GCF_000740295.1_ASM74029v1_genomic.fna     FASTA   DNA          2  3,280,310  1,155,633    1,640,155  2,124,677
./indiv/GCF_000740315.1_ASM74031v1_genomic.fna     FASTA   DNA          2  3,288,158  1,163,326    1,644,079  2,124,832
./indiv/GCF_000740335.1_ASM74033v1_genomic.fna     FASTA   DNA          2  3,312,751  1,206,801  1,656,375.5  2,105,950
./indiv/GCF_000740355.1_ASM74035v1_genomic.fna     FASTA   DNA          2  3,310,727  1,187,961  1,655,363.5  2,122,766
./indiv/GCF_000740375.1_ASM74037v1_genomic.fna     FASTA   DNA          2  3,286,128  1,162,137    1,643,064  2,123,991
./indiv/GCF_000740415.1_ASM74041v1_genomic.fna     FASTA   DNA          2  3,294,775  1,177,791  1,647,387.5  2,116,984
./indiv/GCF_000740435.1_ASM74043v1_genomic.fna     FASTA   DNA          2  2,847,842    944,972    1,423,921  1,902,870
./indiv/GCF_000742955.1_ASM74295v1_genomic.fna     FASTA   DNA          4  4,821,812     27,386    1,205,453  2,708,454
./indiv/GCF_000875695.1_ASM87569v1_genomic.fna     FASTA   DNA          2  3,315,086  1,207,241    1,657,543  2,107,845
./indiv/GCF_001043295.1_ASM104329v1_genomic.fna    FASTA   DNA          2  3,273,110  1,156,120    1,636,555  2,116,990
./indiv/GCF_001296965.1_ASM129696v1_genomic.fna    FASTA   DNA          2  3,285,427  1,162,580  1,642,713.5  2,122,847
./indiv/GCF_001307475.2_ASM130747v2_genomic.fna    FASTA   DNA          2  3,310,789  1,185,595  1,655,394.5  2,125,194
./indiv/GCF_001431745.1_ASM143174v1_genomic.fna    FASTA   DNA          2  3,311,875  1,185,741  1,655,937.5  2,126,134
./indiv/GCF_001652485.1_ASM165248v1_genomic.fna    FASTA   DNA          2  4,992,805  1,042,249  2,496,402.5  3,950,556
./indiv/GCF_001715365.1_ASM171536v1_genomic.fna    FASTA   DNA          2  3,307,321  1,206,869  1,653,660.5  2,100,452
./indiv/GCF_001715385.1_ASM171538v1_genomic.fna    FASTA   DNA          2  3,283,485  1,162,140  1,641,742.5  2,121,345
./indiv/GCF_001715405.1_ASM171540v1_genomic.fna    FASTA   DNA          2  3,277,586  1,170,644    1,638,793  2,106,942
./indiv/GCF_001715425.1_ASM171542v1_genomic.fna    FASTA   DNA          2  3,315,231  1,207,345  1,657,615.5  2,107,886
./indiv/GCF_001715485.1_ASM171548v1_genomic.fna    FASTA   DNA          2  3,309,874  1,187,086    1,654,937  2,122,788
./indiv/GCF_001971625.1_ASM197162v1_genomic.fna    FASTA   DNA          2  3,434,749  1,243,395  1,717,374.5  2,191,354
./indiv/GCF_001971805.1_ASM197180v1_genomic.fna    FASTA   DNA          2  3,592,978  1,312,151    1,796,489  2,280,827
./indiv/GCF_002025625.1_ASM202562v1_genomic.fna    FASTA   DNA          4  5,467,370    332,144  1,366,842.5  2,385,017
./indiv/GCF_002191235.1_ASM219123v1_genomic.fna    FASTA   DNA          2  3,311,054  1,185,068    1,655,527  2,125,986
./indiv/GCF_002191295.1_ASM219129v1_genomic.fna    FASTA   DNA          2  3,313,492  1,187,139    1,656,746  2,126,353
./indiv/GCF_002191335.1_ASM219133v1_genomic.fna    FASTA   DNA          2  2,750,724    624,343    1,375,362  2,126,381
./indiv/GCF_002191355.1_ASM219135v1_genomic.fna    FASTA   DNA          2  3,310,467  1,187,617  1,655,233.5  2,122,850
./indiv/GCF_002191375.1_ASM219137v1_genomic.fna    FASTA   DNA          2  3,309,727  1,186,828  1,654,863.5  2,122,899
./indiv/GCF_002191455.1_ASM219145v1_genomic.fna    FASTA   DNA          2  3,312,670  1,186,245    1,656,335  2,126,425
./indiv/GCF_002191575.1_ASM219157v1_genomic.fna    FASTA   DNA          2  3,311,409  1,185,481  1,655,704.5  2,125,928
./indiv/GCF_002191615.1_ASM219161v1_genomic.fna    FASTA   DNA          2  3,312,739  1,186,360  1,656,369.5  2,126,379
./indiv/GCF_002191655.1_ASM219165v1_genomic.fna    FASTA   DNA          1  1,844,633  1,844,633    1,844,633  1,844,633
./indiv/GCF_002191675.1_ASM219167v1_genomic.fna    FASTA   DNA          2  3,312,621  1,186,243  1,656,310.5  2,126,378
./indiv/GCF_002191755.1_ASM219175v1_genomic.fna    FASTA   DNA          2  2,944,904    818,562    1,472,452  2,126,342
./indiv/GCF_002191915.1_ASM219191v1_genomic.fna    FASTA   DNA          2  3,311,334  1,185,347    1,655,667  2,125,987
./indiv/GCF_002192095.1_ASM219209v1_genomic.fna    FASTA   DNA          2  3,312,779  1,186,410  1,656,389.5  2,126,369
./indiv/GCF_002192155.1_ASM219215v1_genomic.fna    FASTA   DNA          2  3,312,521  1,186,163  1,656,260.5  2,126,358
./indiv/GCF_002262955.1_ASM226295v1_genomic.fna    FASTA   DNA          2  3,311,862  1,185,704    1,655,931  2,126,158
./indiv/GCF_002262975.1_ASM226297v1_genomic.fna    FASTA   DNA          2  3,271,067  1,155,738  1,635,533.5  2,115,329
./indiv/GCF_002262995.1_ASM226299v1_genomic.fna    FASTA   DNA          2  3,270,868  1,155,647    1,635,434  2,115,221
./indiv/GCF_002263015.1_ASM226301v1_genomic.fna    FASTA   DNA          2  3,312,673  1,184,791  1,656,336.5  2,127,882
./indiv/GCF_002591255.1_ASM259125v1_genomic.fna    FASTA   DNA          2  3,312,764  1,206,806    1,656,382  2,105,958
./indiv/GCF_002749475.1_ASM274947v1_genomic.fna    FASTA   DNA          2  3,315,195  1,207,363  1,657,597.5  2,107,832
./indiv/GCF_002763615.1_ASM276361v1_genomic.fna    FASTA   DNA          2  3,311,767  1,185,594  1,655,883.5  2,126,173
./indiv/GCF_002895105.1_ASM289510v1_genomic.fna    FASTA   DNA          2  3,311,210  1,185,510    1,655,605  2,125,700
./indiv/GCF_002895125.1_ASM289512v1_genomic.fna    FASTA   DNA          2  3,310,711  1,187,943  1,655,355.5  2,122,768
./indiv/GCF_002895145.1_ASM289514v1_genomic.fna    FASTA   DNA          2  3,286,445  1,162,204  1,643,222.5  2,124,241
./indiv/GCF_002953595.1_ASM295359v1_genomic.fna    FASTA   DNA          2  3,299,170  1,177,802    1,649,585  2,121,368
./indiv/GCF_003010715.1_ASM301071v1_genomic.fna    FASTA   DNA          2  3,277,308  1,170,326    1,638,654  2,106,982
./indiv/GCF_003205535.1_ASM320553v1_genomic.fna    FASTA   DNA          2  3,311,757  1,185,626  1,655,878.5  2,126,131
./indiv/GCF_003290345.1_ASM329034v1_genomic.fna    FASTA   DNA          2  3,286,167  1,162,170  1,643,083.5  2,123,997
./indiv/GCF_003516045.1_ASM351604v1_genomic.fna    FASTA   DNA          2  3,311,401  1,185,698  1,655,700.5  2,125,703
./indiv/GCF_003516065.1_ASM351606v1_genomic.fna    FASTA   DNA          2  3,311,514  1,185,699    1,655,757  2,125,815
./indiv/GCF_003516085.1_ASM351608v1_genomic.fna    FASTA   DNA          1  3,311,860  3,311,860    3,311,860  3,311,860
./indiv/GCF_003675365.1_ASM367536v1_genomic.fna    FASTA   DNA          2  3,270,584  1,155,435    1,635,292  2,115,149
./indiv/GCF_003856415.1_ASM385641v1_genomic.fna    FASTA   DNA          2  3,312,257  1,186,194  1,656,128.5  2,126,063
./indiv/GCF_004208655.1_ASM420865v1_genomic.fna    FASTA   DNA          2  3,311,869  1,185,609  1,655,934.5  2,126,260
./indiv/GCF_004208675.1_ASM420867v1_genomic.fna    FASTA   DNA          2  3,311,846  1,185,627    1,655,923  2,126,219
./indiv/GCF_004208695.1_ASM420869v1_genomic.fna    FASTA   DNA          2  3,311,825  1,185,649  1,655,912.5  2,126,176
./indiv/GCF_008761575.1_ASM876157v1_genomic.fna    FASTA   DNA          2  3,278,466  1,158,833    1,639,233  2,119,633
./indiv/GCF_008761595.1_ASM876159v1_genomic.fna    FASTA   DNA          2  3,311,895  1,185,660  1,655,947.5  2,126,235
./indiv/GCF_008761615.1_ASM876161v1_genomic.fna    FASTA   DNA          2  3,306,324  1,185,650    1,653,162  2,120,674
./indiv/GCF_009017375.1_ASM901737v1_genomic.fna    FASTA   DNA          2  4,736,879  2,090,924  2,368,439.5  2,645,955
./indiv/GCF_009601725.1_ASM960172v1_genomic.fna    FASTA   DNA          2  3,584,454  1,316,279    1,792,227  2,268,175
./indiv/GCF_011801185.1_ASM1180118v1_genomic.fna   FASTA   DNA          2  3,284,191  1,161,994  1,642,095.5  2,122,197
./indiv/GCF_014084005.1_ASM1408400v1_genomic.fna   FASTA   DNA          2  3,378,310  1,197,108    1,689,155  2,181,202
./indiv/GCF_014495725.1_ASM1449572v1_genomic.fna   FASTA   DNA          2  4,747,700  2,064,809    2,373,850  2,682,891
./indiv/GCF_014495905.1_ASM1449590v1_genomic.fna   FASTA   DNA          3  3,522,910     85,387  1,174,303.3  2,261,316
./indiv/GCF_014884405.1_ASM1488440v1_genomic.fna   FASTA   DNA          2  3,324,593  1,400,820  1,662,296.5  1,923,773
./indiv/GCF_014884485.1_ASM1488448v1_genomic.fna   FASTA   DNA          2  3,319,604  1,187,927    1,659,802  2,131,677
./indiv/GCF_014884505.1_ASM1488450v1_genomic.fna   FASTA   DNA          2  3,313,840  1,410,988    1,656,920  1,902,852
./indiv/GCF_014884525.1_ASM1488452v1_genomic.fna   FASTA   DNA          2  3,303,700  1,190,188    1,651,850  2,113,512
./indiv/GCF_014884545.1_ASM1488454v1_genomic.fna   FASTA   DNA          2  3,315,569  1,207,177  1,657,784.5  2,108,392
./indiv/GCF_014884565.1_ASM1488456v1_genomic.fna   FASTA   DNA          2  3,315,357  1,207,156  1,657,678.5  2,108,201
./indiv/GCF_015326295.1_ASM1532629v1_genomic.fna   FASTA   DNA          2  4,142,364  2,044,736    2,071,182  2,097,628
./indiv/GCF_015624465.1_ASM1562446v1_genomic.fna   FASTA   DNA          2  3,312,423  1,192,109  1,656,211.5  2,120,314
./indiv/GCF_015832115.1_ASM1583211v1_genomic.fna   FASTA   DNA          2  3,290,672  1,598,747    1,645,336  1,691,925
./indiv/GCF_016128015.1_ASM1612801v1_genomic.fna   FASTA   DNA          5  5,173,962     61,780  1,034,792.4  2,887,297
./indiv/GCF_017797885.1_ASM1779788v1_genomic.fna   FASTA   DNA          2  3,316,585  1,228,487  1,658,292.5  2,088,098
./indiv/GCF_018798825.1_ASM1879882v1_genomic.fna   FASTA   DNA          4  5,879,036    840,417    1,469,759  2,371,342
./indiv/GCF_900092405.1_10RB9215v1_genomic.fna     FASTA   DNA          2  3,562,813  1,306,027  1,781,406.5  2,256,786
./indiv/GCF_900095155.1_BR141012304v1_genomic.fna  FASTA   DNA          2  3,442,381  1,296,428  1,721,190.5  2,145,953
./indiv/GCF_900236335.1_Bru_genome7_genomic.fna    FASTA   DNA          2  3,295,083  1,178,091  1,647,541.5  2,116,992
./indiv/GCF_900236345.1_Bru_genome47_genomic.fna   FASTA   DNA          2  3,294,929  1,177,929  1,647,464.5  2,117,000
./indiv/GCF_900236355.1_Bru_genome20_genomic.fna   FASTA   DNA          2  3,295,079  1,178,087  1,647,539.5  2,116,992
./indiv/GCF_900236365.1_Bru_genome40_genomic.fna   FASTA   DNA          2  3,295,230  1,178,125    1,647,615  2,117,105
./indiv/GCF_900236375.1_Bru_genome9_genomic.fna    FASTA   DNA          2  3,295,073  1,177,855  1,647,536.5  2,117,218
./indiv/GCF_900236385.1_Bru_genome37_genomic.fna   FASTA   DNA          2  3,295,156  1,178,127    1,647,578  2,117,029
./indiv/GCF_900236395.1_Bru_genome41_genomic.fna   FASTA   DNA          2  3,295,219  1,178,129  1,647,609.5  2,117,090
./indiv/GCF_900236405.1_Bru_genome13_genomic.fna   FASTA   DNA          2  3,295,161  1,178,117  1,647,580.5  2,117,044
./indiv/GCF_900236415.1_Bru_genome48_genomic.fna   FASTA   DNA          2  3,295,221  1,178,159  1,647,610.5  2,117,062
./indiv/GCF_900236425.1_Bru_genome11_genomic.fna   FASTA   DNA          2  3,295,104  1,177,868    1,647,552  2,117,236
./indiv/GCF_900236435.1_Bru_genome23_genomic.fna   FASTA   DNA          2  3,295,145  1,178,114  1,647,572.5  2,117,031
./indiv/GCF_900236445.1_Bru_genome2_genomic.fna    FASTA   DNA          2  3,295,128  1,178,111    1,647,564  2,117,017
./indiv/GCF_900236455.1_Bru_genome44_genomic.fna   FASTA   DNA          2  3,295,212  1,178,153    1,647,606  2,117,059
./indiv/GCF_900236465.1_Bru_genome45_genomic.fna   FASTA   DNA          2  3,295,087  1,178,127  1,647,543.5  2,116,960
./indiv/GCF_900236485.1_Bru_genome24_genomic.fna   FASTA   DNA          2  3,295,085  1,177,880  1,647,542.5  2,117,205
./indiv/GCF_900236495.1_Bru_genome46_genomic.fna   FASTA   DNA          2  3,295,056  1,177,851    1,647,528  2,117,205
./indiv/GCF_900236515.1_Bru_genome43_genomic.fna   FASTA   DNA          2  3,295,070  1,178,071    1,647,535  2,116,999
./indiv/GCF_900236525.1_Bru_genome6_genomic.fna    FASTA   DNA          2  3,295,083  1,178,074  1,647,541.5  2,117,009
./indiv/GCF_900236535.1_Bru_genome4_genomic.fna    FASTA   DNA          2  3,295,033  1,177,878  1,647,516.5  2,117,155
./indiv/GCF_900236545.1_Bru_genome36_genomic.fna   FASTA   DNA          2  3,295,203  1,178,149  1,647,601.5  2,117,054
./indiv/GCF_900236555.1_Bru_genome5_genomic.fna    FASTA   DNA          2  3,295,047  1,178,061  1,647,523.5  2,116,986
./indiv/GCF_900236565.1_Bru_genome8_genomic.fna    FASTA   DNA          2  2,200,601     83,598  1,100,300.5  2,117,003
./indiv/GCF_900236575.1_Bru_genome10_genomic.fna   FASTA   DNA          1  1,553,389  1,553,389    1,553,389  1,553,389
./indiv/GCF_900236585.1_Bru_genome1_genomic.fna    FASTA   DNA          2  3,295,066  1,177,784    1,647,533  2,117,282
